store-name,address,address_city,address_postcode,address_region,address_departement,address_longitude,address_latitude,google_map_url,contact_phone,contact_email,open_hour_monday_to_friday,close_hour_monday_to_friday,open_hour_saturday,closed_hour_saturday,open_hours_sunday,source
Agen,Allées des Riols - Lieu-dit la Capelette,Agen,47000,Nouvelle-Aquitaine,Lot-et-Garonne,0.622536,44.179295,"https://maps.google.com/maps/?q=44.179295,0.622536",0825 09 09 09,service.clients@metro.fr,06:00:00,19:00:00,06:00:00,18:00:00,closed,https://www.metro.fr/halles/agen
Aix-en-Provence (Venelles),944 rue de la gare,Venelles,13770,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,5.47030619999998,43.5842208,"https://maps.google.com/maps/?q=43.5842208,5.470306199999982",0825 09 09 09,service.clients@metro.fr,06:00:00,19:00:00,06:00:00,18:00:00,closed,https://www.metro.fr/halles/aix-en-provence
Albertville,Zone d'activités des Vernes - 33 rue Robert Piddat,Albertville,73200,Auvergne-Rhône-Alpes,Savoie,6.4119807,45.6639773,"https://maps.google.com/maps/?q=45.6639773,6.4119807",0825 09 09 09,service.clients@metro.fr,06:00:00,19:00:00,06:00:00,18:00:00,closed,https://www.metro.fr/halles/albertville
Alès,1173 ancien chemin de Mons,Alès,30100,Occitanie,Gard,4.1078196999,44.1252835,"https://maps.google.com/maps/?q=44.1252835,4.1078196999",0825 09 09 09,service.clients@metro.fr,06:00:00,18:00:00,06:00:00,18:00:00,closed,https://www.metro.fr/halles/ales
Amiens,Espace Industriel de Longpré - Avenue Roger Dumoulin,Amiens,80000,Hauts-de-France,Somme,2.286851,49.928524,"https://maps.google.com/maps/?q=49.928524,2.286851",0825 09 09 09,service.clients@metro.fr,06:00:00,19:00:00,06:00:00,18:00:00,closed,https://www.metro.fr/halles/amiens
Angers (Saint-Barthélémy-d'Anjou),ZI La Romanerie Nord - 2 Rue du Cloteau,Saint-Barthélémy-d'Anjou,49124,Pays de la Loire,Maine-et-Loire,-0.50155,47.484385,"https://maps.google.com/maps/?q=47.484385,-0.501550",0825 09 09 09,service.clients@metro.fr,06:00:00,19:00:00,06:00:00,18:00:00,closed,https://www.metro.fr/halles/angers
Anglet,7 rue du Moulin de Brindos,Anglet,64600,Nouvelle-Aquitaine,Pyrénées-Atlantiques,-1.5181492,43.462515,"https://maps.google.com/maps/?q=43.462515,-1.5181492",0825 09 09 09,service.clients@metro.fr,06:00:00,19:00:00,06:00:00,18:00:00,closed,https://www.metro.fr/halles/anglet
Angoulême,Rue des marais de Grelet - La Combe à Rosier,Angoulême,16000,Nouvelle-Aquitaine,Charente,0.1262919,45.642625,"https://maps.google.com/maps/?q=45.642625,0.1262919",0825 09 09 09,service.clients@metro.fr,06:00:00,19:00:00,06:00:00,18:00:00,closed,https://www.metro.fr/halles/angouleme
Annecy,Allée Jean Mermoz - ZAC des Romains - La Salle,Cran-Gevrier,74961,Auvergne-Rhône-Alpes,Haute-Savoie,6.090824,45.906736,"https://maps.google.com/maps/?q=45.906736,6.090824",0825 09 09 09,service.clients@metro.fr,06:00:00,19:00:00,06:00:00,18:00:00,closed,https://www.metro.fr/halles/annecy
Annemasse (Ville-la-Grand),Rue du Bois de la Rose,Ville-la-Grand,74100,Auvergne-Rhône-Alpes,Haute-Savoie,6.276226,46.205832,"https://maps.google.com/maps/?q=46.205832,6.276226",0825 09 09 09,service.clients@metro.fr,06:00:00,19:00:00,06:00:00,18:00:00,closed,https://www.metro.fr/halles/annemasse
Auxerre (Monéteau),Rue Saint-Exupéry - Parc d'Activités des Terres du Canada,Moneteau,89470,Bourgogne-Franche-Comté,Yonne,3.580153,47.832513,"https://maps.google.com/maps/?q=47.832513,3.580153",0825 09 09 09,service.clients@metro.fr,06:00:00,19:00:00,06:00:00,18:00:00,closed,https://www.metro.fr/halles/auxerre
Avignon,Marché d'Intérêt National Avignon Sud - 135 avenue Pierre Semard,Avignon,84000,Provence-Alpes-Côte d'Azur,Vaucluse,4.838926,43.931628,"https://maps.google.com/maps/?q=43.931628,4.838926",0825 09 09 09,service.clients@metro.fr,05:30:00,19:00:00,05:30:00,18:00:00,closed,https://www.metro.fr/halles/avignon
Belfort,Rue Albert Camus,Belfort,90000,Bourgogne-Franche-Comté,Territoire de Belfort,6.88373,47.643195,"https://maps.google.com/maps/?q=47.643195,6.883730",0825 09 09 09,service.clients@metro.fr,06:00:00,19:00:00,06:00:00,18:00:00,closed,https://www.metro.fr/halles/belfort
Besançon,6 rue Alfred Kastler,Besançon,25000,Bourgogne-Franche-Comté,Doubs,5.976755,47.228299,"https://maps.google.com/maps/?q=47.228299,5.976755",0825 09 09 09,service.clients@metro.fr,06:00:00,19:00:00,06:00:00,18:00:00,closed,https://www.metro.fr/halles/besancon
Bobigny,ZI les Vignes - 35-77 rue Benoît Frachon,Bobigny,93013,Île-de-France,Seine-Saint-Denis,2.430712,48.903513,"https://maps.google.com/maps/?q=48.903513,2.430712",0825 09 09 09,service.clients@metro.fr,05:00:00,20:00:00,05:00:00,19:00:00,closed,https://www.metro.fr/halles/bobigny
Bordeaux (Gradignan),ZA de Bersol - 17 avenue de l'Europe,Gradignan,33170,Nouvelle-Aquitaine,Gironde,-0.644644,44.775093,"https://maps.google.com/maps/?q=44.775093,-0.644644",0825 09 09 09,service.clients@metro.fr,06:00:00,19:00:00,06:00:00,18:00:00,closed,https://www.metro.fr/halles/bordeaux-gradignan
Bordeaux-Lac,Z.A.C. de Gros Chemin de Labarde - BP 73,Bordeaux,33083,Nouvelle-Aquitaine,Gironde,-0.548868,44.891917,"https://maps.google.com/maps/?q=44.891917,-0.548868",0825 09 09 09,service.clients@metro.fr,05:30:00,20:00:00,05:30:00,18:00:00,closed,https://www.metro.fr/halles/bordeaux
Boulogne-sur-Mer (Saint-Martin-Boulogne),Zone de l'Inquétrie - Rue du Moulin l'Abbé,Saint-Martin-Boulogne,62280,Hauts-de-France,Pas-de-Calais,1.683424,50.731137,"https://maps.google.com/maps/?q=50.731137,1.683424",0825 09 09 09,service.clients@metro.fr,06:00:00,19:00:00,06:00:00,18:00:00,closed,https://www.metro.fr/halles/boulogne-sur-mer
Bourg-en-Bresse (Viriat),55 rue Michael Faraday - Parc de la Chambière,Viriat,1440,Auvergne-Rhône-Alpes,Ain,5.208784,46.218409,"https://maps.google.com/maps/?q=46.218409,5.208784",0825 09 09 09,service.clients@metro.fr,06:00:00,19:00:00,06:00:00,18:00:00,closed,https://www.metro.fr/halles/bourg-en-bresse
Bourges,ZAC de Beaulieu - 18 Route Charles Durand,Bourges,18000,Centre-Val de Loire,Cher,2.355181,47.057085,"https://maps.google.com/maps/?q=47.057085,2.355181",0825 09 09 09,service.clients@metro.fr,06:00:00,19:00:00,06:00:00,18:00:00,closed,https://www.metro.fr/halles/bourges
Brest (Gouesnou),ZI de Kergaradec - 2 Rue Henri Becquerel,Gouesnou,29850,Bretagne,Finistère,-4.451788,48.431968,"https://maps.google.com/maps/?q=48.431968,-4.451788",0825 09 09 09,service.clients@metro.fr,06:00:00,19:00:00,06:00:00,18:00:00,closed,https://www.metro.fr/halles/brest
Brive-la-Gaillarde,Rue Louis Taurisson - Parc d'entreprises de Brive Ouest,Brive-la-Gaillarde,19100,Nouvelle-Aquitaine,Corrèze,1.484576,45.140307,"https://maps.google.com/maps/?q=45.140307,1.484576",0825 09 09 09,service.clients@metro.fr,06:00:00,19:00:00,06:00:00,18:00:00,closed,https://www.metro.fr/halles/brive-la-gaillarde
